subname,category,name,description,location,address,neighborhood,latitude,longitude,time_of_day,link,start_date_sort,start_date,end_date,display_date,cost,image,id
None,"Museums, Historical/Cultural",USS Constitution Museum,"Interactive museum near the 1797 wooden frigate made famous as ""Old Ironsides"" in the War of 1812.",None,"Charlestown Navy Yard, Charlestown",Charlestown,42.374083,-71.055145,Day,https://ussconstitutionmuseum.org/,10/30/18,None,None,None,$,uss-constitution.png,76
None,"Museums, Historical/Cultural, Arts/Entertainment",Museum of Fine Arts,"Neoclassical and modern wings of this museum house a vast collection of work, from ancient Egyptian to contemporary American periods.",None,"465 Huntington Ave., Boston",Fenway/Kenmore,42.339385,-71.094053,Day,http://www.mfa.org/,10/30/18,None,None,None,$,museum-of-fine.png,77
None,Attractions,Prudential Building Skywalk,Sky-high vantage point with an audio tour and sweeping 360-degree views of Boston and beyond.,None,"800 Boylston St., Boston",Back Bay,42.347352,-71.081883,Day,http://skywalkboston.com/,10/30/18,None,None,None,$,prudential.png,78
None,"Museums, Historical/Cultural",Old North Church,This historic 18th century church was the starting point for Paul Revere's revolutionary ride. The museum offers tours and more.,None,"193 Salem St., Boston",Downtown,42.3662592,-71.054608,Day,http://oldnorth.com/,10/30/18,None,None,None,$,Old_Town_Trolley_Tours.png,79
None,"Museums, Historical/Cultural",John F. Kennedy Presidential Library and Museum,"The John F. Kennedy Presidential Library and Museum is dedicated to the memory of the nation's 35th president. The library, located on a 10-acre park overlooking the sea that Kennedy loved and the city where he grew up, stands as a vibrant tribute to his life.",None,"220 William T Morrissey Blvd., Boston",Dorchester,42.316275,-71.034196,Day,https://www.jfklibrary.org,10/30/18,None,None,None,$,john-f-kennedy.png,80
None,"Museums, Arts/Entertainment",Museum of Bad Art,"The Museum of Bad Art is the world's only museum dedicated to the collection, preservation, exhibition, and celebration of bad art in all its forms.",None,"55 Davis Sq., Somerville",Somerville,42.3966479,-71.123012,Night,http://www.museumofbadart.org/,10/30/18,None,None,None,Free,museum-of-bad.png,81
None,Museums,New England Aquarium,Aquatic zoo and museum. A giant glass tank spiraled by a multilevel walkway is the main draw at this waterfront attraction.,None,"1 Central Wharf, Boston",Downtown,42.3592387,-71.049189,Day,http://www.neaq.org/,10/30/18,None,None,None,$,new-england-aquarium.png,82
None,"Markets, Food",Boston Public Market,"Year-round indoor market with scores of vendors selling local produce, fish, gourmet treats, and more.",None,"100 Hanover St., Boston",Downtown,42.3620005,-71.056941,Day,http://bostonpublicmarket.org/,10/30/18,None,None,None,Free,boston-public-market.png,83
None,"Markets, Food",Faneuil Hall Marketplace,"The market building, built in 1742, was the site of historic speeches by Samuel Adams and Frederick Douglass. It is now filled with retail, food, and entertainment options.",None,"4 South Market Building, Boston",Downtown,42.3602197,-71.054777,Day,http://faneuilhallmarketplaceboston.com/,10/30/18,None,None,None,Free,faneuil-hall.png,84
None,"Attractions, Historical/Cultural",Boston Duck Tour,"Climb aboard a unique amphibious vehicle and discover Boston from a different perspective. The World War II-style ""Duck"" travels on land and water and takes you along historic streets and into the Charles River on an 80-minute tour of the city.",None,"4 Copley Pl., Boston",Back Bay,42.3471968,-71.078305,"Day, Night",http://www.bostonducktours.com/,10/30/18,None,None,None,$,boston-duck-tour.png,85
None,Activities/Sports,Boston Sailing Center,Boston Sailing Center offers a wide range of sailing lessons as well as club memberships.,None,"54 Lewis Wharf, Boston",North End,42.3634243,-71.050001,Day,http://www.bostonsailingcenter.com/,10/30/18,None,None,None,$,sailling-center.png,86
None,"Attractions, Historical/Cultural",Old Town Trolley Tour,"Climb aboard a trolley and experience a combination of transportation and onboard entertainment. With a full-day ticket, you can hop off at 20 stops throughout Boston that are close to more than 100 points of interest.",None,Boston,Beacon Hill,42.3584308,-71.061962,"Day, Night",https://www.trolleytours.com/boston,10/30/18,None,None,None,$,Old_Town_Trolley_Tours.png,87
None,Attractions,Castle Island,"Castle Island, located at the northern tip of a three-mile stretch of South Boston beaches looking out onto Dorchester Bay, anchors Pleasure Bay Beach. Historic Fort Independence overlooks the Boston Harbor Islands, offering gorgeous views and a cool breeze.",None,"Pleasure Bay, South Boston",South Boston,42.338322,-71.011212,Day,http://www.boston-discovery-guide.com/castle-island.html,10/30/18,None,None,None,Free,castle-island.png,88
None,Attractions,Revere Beach,"Revere Beach looks east across the Atlantic Ocean and attracts as many as 100,000 visitors on warm summer days. The beach was established in 1896, making it the oldest public beach in the United States.",None,Revere,Revere,42.4250968,-70.985022,Day,http://reverebeach.com/,10/30/18,None,None,None,Free,revere-beach.png,89
None,Attractions,Boston Public Garden,"Placid, verdant, circa-1837 city park with a lagoon, boat rides, fountains, and other sights.",None,"4 Charles St., Boston",Back Bay,42.354086,-71.070428,"Day, Night",https://www.boston.gov/departments/parks-and-recreation,10/30/18,None,None,None,Free,boston-public-garden.png,90
None,Attractions,Boston Common,"Storied, nearly 50-acre urban park that hosted British troops during the American Revolution.",None,"139 Tremont St., Boston",Back Bay,42.355032,-71.065581,"Day, Night",https://www.boston.gov/departments/parks-and-recreation,10/30/18,None,None,None,Free,boston-common.png,91
None,Attractions,The Esplanade,"This waterfront promenade features three play areas, multiple docks, sports fields, and seasonal events.",None,Boston,Back Bay,42.359564,-71.073424,"Day, Night",https://www.boston.gov/departments/parks-and-recreation,10/30/18,None,None,None,Free,espianade.png,92
